"PlusbusZoneCode","Name","NameLang","Country","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"LNLTHGW","LNLTHGW","en","Scotland","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"LOGHBRO","LOGHBRO","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"LOWSTFT","LOWSTFT","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"LTCE","LTCE","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"LTNBZRD","LTNBZRD","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"LUDO","LUDO","en","Wales","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"LUTON","LUTON","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"LVRPLCH","LVRPLCH","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"MACLSFD","MACLSFD","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"MARGATE","MARGATE","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"MDLSBRO","MDLSBRO","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"MDNHEAD","MDNHEAD","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"MERTHYR","MERTHYR","en","Wales","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"MFLDTWN","MFLDTWN","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"MKNSCEN","MKNSCEN","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"MNCRPIC","MNCRPIC","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"MSTONEB","MSTONEB","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"NABT","NABT","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"NEATH","NEATH","en","Wales","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"NEWANG","NEWANG","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"NEWBURY","NEWBURY","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"NEWQUAY","NEWQUAY","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"NMPTN","NMPTN","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"NNTN","NNTN","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"NRCH","NRCH","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"NTNG","NTNG","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"NWCSTLE","NWCSTLE","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"NWPTRTG","NWPTRTG","en","Wales","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"OXENHLM","OXENHLM","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"OXFD","OXFD","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"PBRO","PBRO","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"PENZNCE","PENZNCE","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"PERTH","PERTH","en","Scotland","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"PLYMTH","PLYMTH","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"POTRSBR","POTRSBR","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"PRST","PRST","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"PSEA","PSEA","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"PSTA","PSTA","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"PTALBOT","PTALBOT","en","Wales","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"PTYPRID","PTYPRID","en","Wales","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"RADLETT","RADLETT","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"RAYLEGH","RAYLEGH","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"RDIT","RDIT","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"RDNGSTN","RDNGSTN","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"REDHILL","REDHILL","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"RHYL","RHYL","en","Wales","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"ROYSTON","ROYSTON","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"RTFD","RTFD","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"RUGBY","RUGBY","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"RUNCORN","RUNCORN","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"RYEE","RYEE","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"SCARBRO","SCARBRO","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"SCNTHRP","SCNTHRP","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"SDON","SDON","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"SHEFFLD","SHEFFLD","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"SHOTTON","SHOTTON","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"SHRWBY","SHRWBY","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"SKEGNES","SKEGNES","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"SLEHOPE","SLEHOPE","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"SLOUGH","SLOUGH","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"SLSBRY","SLSBRY","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"SNDRLND","SNDRLND","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"SOTON","SOTON","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"SOUTHPT","SOUTHPT","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"STAFFRD","STAFFRD","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
