,,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,Latitude,Latitude,Latitude,Latitude,Latitude,Latitude,Latitude,Latitude,RevisionNumber,RevisionNumber,RevisionNumber,RevisionNumber,RevisionNumber,RevisionNumber,RevisionNumber,RevisionNumber,NptgDistrictCode,NptgDistrictCode,NptgDistrictCode,NptgDistrictCode,NptgDistrictCode,NptgDistrictCode,NptgDistrictCode,NptgDistrictCode,AtcoAreaCode,AtcoAreaCode,AtcoAreaCode,AtcoAreaCode,AtcoAreaCode,AtcoAreaCode,AtcoAreaCode,AtcoAreaCode,Longitude_area,Longitude_area,Longitude_area,Longitude_area,Longitude_area,Longitude_area,Longitude_area,Longitude_area,Latitude_area,Latitude_area,Latitude_area,Latitude_area,Latitude_area,Latitude_area,Latitude_area,Latitude_area
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
AdminCode,AreaName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Scottish Borders,1390.0,-2.679433816618633,0.315377009032806,-3.468620799,-2.832753924375,-2.7358686235,-2.4312055038000002,-2.0454805371,1390.0,55.60409733026122,0.13471911271531967,55.1172548579,55.523370703124996,55.606856953299996,55.684964340625,55.932033709799995,1390.0,3.102158273381295,1.684532079321553,0.0,2.0,3.0,4.0,12.0,1390.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,1390.0,690.0,0.0,690.0,690.0,690.0,690.0,690.0,22.0,-2.7222046545454543,0.4368361448342462,-3.46704961,-2.80599298,-2.80561548,-2.3665226825000003,-2.12183821,22.0,55.65798753727272,0.09090436395055296,55.56823535,55.6172677,55.6174409,55.643065715,55.84281853
116,Clackmannanshire,299.0,-3.7772314796324413,0.05084167524929906,-3.860575696,-3.805553005,-3.7845987246,-3.7507804461500003,-3.6042888831999997,299.0,56.133251300185954,0.01962528185917369,56.0921766186,56.117326647949994,56.1292947387,56.150960997400006,56.19502317520001,299.0,3.1036789297658864,2.0364019074786643,0.0,1.0,3.0,5.0,9.0,299.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,299.0,668.0,0.0,668.0,668.0,668.0,668.0,668.0,231.0,-3.774997416060606,0.05236434977981228,-3.86003503,-3.80434935,-3.78253004,-3.74848156,-3.60442913,231.0,56.133887620822506,0.020344079845206423,56.09964266,56.116880275,56.12973184,56.15132101499999,56.1950038
117,West Dunbartonshire,545.0,-4.492962915045871,0.08038654367684371,-4.6039017971,-4.5701517449,-4.5217013345999995,-4.408698134,-4.3807190355,545.0,55.94298573143028,0.03460885900422649,55.891330602299995,55.9138169374,55.9363399828,55.972891024300004,56.0502274478,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,545.0,608.0,0.0,608.0,608.0,608.0,608.0,608.0,321.0,-4.497817991713395,0.08037352529921075,-4.59900009,-4.57231347,-4.54483503,-4.41128857,-4.38476125,321.0,55.945224222087234,0.03504904011545202,55.89416885,55.9137656,55.94135731,55.97572449,56.04233479
118,Dumfries & Galloway,2136.0,-3.8723729444634833,0.5751474623195267,-5.1646720682,-4.159393846075,-3.7102724470500004,-3.4634897104749998,-2.8932784138,2136.0,55.03355087577065,0.14483022281807834,54.689441702399996,54.92694089667499,55.0473988551,55.1081569146,55.417893074700004,2136.0,1.824438202247191,1.1396955766433714,0.0,1.0,2.0,2.0,9.0,2136.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,2136.0,680.0,0.0,680.0,680.0,680.0,680.0,680.0,1589.0,-3.8403796746066705,0.5503007896892459,-5.13221359,-4.12584044,-3.72158873,-3.44094053,-2.89301612,1589.0,55.03850989296413,0.1493920424246686,54.69983819,54.9270525,55.05220461,55.12172988,55.41787587
119,Dundee,999.0,-2.970293588813213,0.04927140903152088,-3.0690923162,-3.0054562983,-2.9783135673000003,-2.9390925732,-2.8411775138,999.0,56.47428520371181,0.010701800645702133,56.45321675939999,56.4668928192,56.4729180335,56.48138824,56.49992491770001,999.0,3.6376376376376376,1.8659550909998024,0.0,3.0,3.0,4.0,22.0,999.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,999.0,640.0,0.0,640.0,640.0,640.0,640.0,640.0,787.0,-2.968878893684879,0.048085863781900405,-3.054664,-3.00348933,-2.97614489,-2.93708986,-2.8439451,787.0,56.47401980344345,0.01026181080546524,56.45326411,56.46721864,56.47269589,56.480982655,56.49991392
12,Carmarthenshire,2485.0,-4.1834082360076055,0.17778570434649613,-4.729341245400001,-4.298249516,-4.1596922563,-4.0636431248000005,-3.7016117262,2485.0,51.8079280599866,0.10380232889504373,51.663134232,51.7153498102,51.797269147899996,51.8618570453,52.1062517887,2485.0,1.9364185110663983,0.8648518076841986,0.0,1.0,2.0,2.0,12.0,2485.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,2485.0,522.0,0.0,522.0,522.0,522.0,522.0,522.0,0.0,,,,,,,,0.0,,,,,,,
120,East Ayrshire,968.0,-4.420996222787604,0.1193088077959181,-4.5949389134,-4.504924606225001,-4.47526135395,-4.3301537562500005,-4.059981597799999,968.0,55.54973570140579,0.10249770623705914,55.306554473199995,55.455170071975004,55.5992919525,55.61913765055,55.7441067524,968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,968.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,968.0,618.0,0.0,618.0,618.0,618.0,618.0,618.0,651.0,-4.419164465668203,0.12097027338787736,-4.59351647,-4.509627699999999,-4.47221702,-4.30523872,-4.07238911,651.0,55.544313964086015,0.10626840498329818,55.30948415,55.45095809,55.59830128,55.62022739,55.74409352
121,East Dunbartonshire,484.0,-4.2210040381628104,0.08208587060132404,-4.3786394488,-4.31638400225,-4.20627413275,-4.150088197800001,-4.0823318854,484.0,55.931286482752476,0.019309255806174715,55.89672412149999,55.914626490075,55.9319530894,55.942333912849996,55.9888371271,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,484.0,611.0,0.0,611.0,611.0,611.0,611.0,611.0,301.0,-4.211982039003323,0.07966514717420888,-4.37289143,-4.28049454,-4.19837357,-4.1471731,-4.08284672,301.0,55.93430168129568,0.01974364771820166,55.89664637,55.92080171,55.93464846,55.94370956,55.98527676
122,East Lothian,905.0,-2.830266534409061,0.166067235423584,-3.0783410204000003,-2.9613868285000002,-2.8498980291000002,-2.7376065130000002,-2.3811985277,905.0,55.96509549648707,0.04208380942078205,55.854240222399994,55.9403806603,55.95612866,55.990797450100004,56.060066872200004,905.0,2.8121546961325965,1.9727306605891426,0.0,1.0,3.0,4.0,12.0,905.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,905.0,627.0,0.0,627.0,627.0,627.0,627.0,627.0,787.0,-2.8337728272172806,0.16661886755134653,-3.0782946,-2.96332006,-2.85918636,-2.7411035850000003,-2.38125436,787.0,55.96429692509529,0.04195065048549123,55.85487396,55.9402472,55.95553988,55.98953924,56.05822553
123,East Renfrewshire,407.0,-4.334839240781081,0.05138405791219745,-4.5019129968,-4.37945640825,-4.3229003164,-4.29468916025,-4.2545596894,407.0,55.7875322585,0.016414486880709473,55.7362582775,55.77817552575,55.7887796024,55.8009916157,55.8180409467,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,407.0,612.0,0.0,612.0,612.0,612.0,612.0,612.0,248.0,-4.3321346693951615,0.05013961239296621,-4.46660181,-4.37830191,-4.319601885,-4.29409346,-4.25487889,248.0,55.787459026088705,0.01754346834044971,55.73739255,55.7769440875,55.788349885,55.80168317249999,55.81703837
